feature,level,meaning,implementation_expression,availability,role
survives_harvest,worker_crop_task,survives harvest,r['harvest_alive'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
produced_hold,worker_crop_task,produced hold,r['hold_produced'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
produced_harvest,worker_crop_task,produced harvest,r['harvest_produced'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
released_production_units,worker_crop_task,released production units,r['release'],Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
released_quote_value,worker_crop_task,released quote value,extra,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
augmented_harvest_value,worker_crop_task,augmented harvest value,value + extra,Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
relative_headroom_bonus,worker_crop_task,relative headroom bonus,"extra / max(1, value)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
own_shed_same_product,worker_crop_task,own shed same product,"shed.get(tile['crop'], 0)",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
own_shed_free,worker_crop_task,own shed free,"max(0, 100 - sum(shed.values()))",Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
delivery_slack,worker_crop_task,delivery slack,718 - (step + travel + shed_distance(target) + 1),Current own legal observation and fixed game mechanics; conditional path masks apply. See FEATURE_RESEARCH.md.,Mechanistic candidate or supporting context; not independently selected/proven.
task_rows,state_summary,task rows,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
scenario_available_rows,state_summary,scenario available rows,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
blocked_production_rows,state_summary,blocked production rows,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
positive_release_rows,state_summary,positive release rows,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
current_worker_count,state_summary,current worker count,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
unique_ready_plants,state_summary,unique ready plants,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
max_release_units,state_summary,max release units,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
max_release_value,state_summary,max release value,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
mean_release_value,state_summary,mean release value,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
fraction_positive_release,state_summary,fraction positive release,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
full_crop_rows,state_summary,full crop rows,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
survival_risk_rows,state_summary,survival risk rows,extract() in headroom_features.py,Current own observation; task summaries may include the same crop for multiple workers.,Diagnostic representation; not an additional policy weight.
