seed,seat,arm,step,product,held_units,same_turn_rival_sale_units,quote_before,quote_next_callback,quote_change
1201,1,11,683,STRAWBERRY,12,0,272,272,0
1201,1,11,684,STRAWBERRY,12,0,272,273,1
1201,1,11,691,STRAWBERRY,4,0,271,271,0
1201,1,11,692,STRAWBERRY,4,0,271,272,1
1201,1,11,696,STRAWBERRY,4,52,270,259,-11
1201,1,11,716,CARROT,2,0,66,67,1
1201,1,11,716,STRAWBERRY,4,0,261,262,1
1202,0,01,264,MELON,89,18,244,232,-12
1202,0,01,288,MELON,60,96,76,4,-72
1202,0,01,504,MELON,1,18,1,4,3
1202,0,01,624,WHEAT,36,0,49,50,1
1202,0,01,672,STRAWBERRY,24,16,331,330,-1
1202,0,01,696,WHEAT,8,14,51,51,0
1202,0,01,696,STRAWBERRY,28,26,327,324,-3
1202,0,01,711,WHEAT,3,0,51,51,0
1202,0,01,712,WHEAT,3,0,51,52,1
1202,0,11,264,MELON,36,36,205,146,-59
1202,0,11,288,MELON,72,78,60,4,-56
1202,0,11,504,MELON,30,30,7,4,-3
1202,0,11,672,CARROT,8,3,68,68,0
1202,0,11,672,STRAWBERRY,36,24,293,289,-4
1202,0,11,682,STRAWBERRY,4,0,282,282,0
1202,0,11,683,CARROT,1,0,68,67,-1
1202,0,11,683,STRAWBERRY,12,0,282,282,0
1202,0,11,684,CARROT,1,0,67,68,1
1202,0,11,684,STRAWBERRY,12,0,282,283,1
1202,0,11,689,STRAWBERRY,4,0,281,281,0
1202,0,11,690,STRAWBERRY,4,0,281,281,0
1202,0,11,691,STRAWBERRY,4,0,281,281,0
1202,0,11,692,STRAWBERRY,4,8,281,280,-1
1202,0,11,696,STRAWBERRY,4,24,274,269,-5
1202,0,11,699,CARROT,1,1,68,68,0
1202,0,11,709,STRAWBERRY,3,0,269,268,-1
1202,0,11,710,STRAWBERRY,3,0,268,268,0
1202,0,11,711,STRAWBERRY,3,0,268,268,0
1202,0,11,712,STRAWBERRY,3,0,268,269,1
1202,0,11,714,STRAWBERRY,4,0,268,268,0
1202,0,11,715,STRAWBERRY,4,0,268,268,0
1202,0,11,716,STRAWBERRY,4,0,268,269,1
1202,1,01,264,MELON,89,18,244,232,-12
1202,1,01,288,MELON,60,96,76,4,-72
1202,1,01,504,MELON,1,18,1,4,3
1202,1,01,624,WHEAT,36,0,49,50,1
1202,1,01,672,STRAWBERRY,24,24,319,316,-3
1202,1,01,696,WHEAT,4,23,52,51,-1
1202,1,01,696,STRAWBERRY,24,32,315,310,-5
1202,1,01,711,WHEAT,3,0,51,51,0
1202,1,01,712,WHEAT,3,0,51,52,1
1202,1,01,715,WHEAT,1,0,51,51,0
1202,1,01,716,WHEAT,1,0,51,52,1
1202,1,11,264,MELON,36,36,205,146,-59
1202,1,11,288,MELON,72,78,60,4,-56
1202,1,11,504,MELON,30,30,7,4,-3
1202,1,11,672,CARROT,8,3,68,68,0
1202,1,11,672,STRAWBERRY,36,24,293,289,-4
1202,1,11,682,STRAWBERRY,4,0,282,282,0
1202,1,11,683,CARROT,1,0,68,67,-1
1202,1,11,683,STRAWBERRY,12,0,282,282,0
1202,1,11,684,CARROT,1,0,67,68,1
1202,1,11,684,STRAWBERRY,12,0,282,283,1
1202,1,11,689,STRAWBERRY,4,0,281,281,0
1202,1,11,690,STRAWBERRY,4,0,281,281,0
1202,1,11,691,STRAWBERRY,4,12,281,278,-3
1202,1,11,692,STRAWBERRY,4,16,278,276,-2
1202,1,11,696,STRAWBERRY,11,20,275,271,-4
1202,1,11,699,CARROT,1,0,68,68,0
1202,1,11,700,CARROT,3,0,68,69,1
1202,1,11,709,STRAWBERRY,1,4,270,270,0
1202,1,11,714,STRAWBERRY,4,0,269,269,0
1202,1,11,715,STRAWBERRY,4,0,269,269,0
1202,1,11,716,STRAWBERRY,4,0,269,270,1
1203,0,01,264,MELON,89,18,244,232,-12
1203,0,01,288,MELON,60,96,76,4,-72
1203,0,01,504,MELON,1,18,1,4,3
1203,0,01,624,WHEAT,24,12,45,44,-1
1203,0,01,648,WHEAT,7,0,45,45,0
1203,0,01,672,STRAWBERRY,24,16,298,296,-2
1203,0,01,696,STRAWBERRY,28,32,293,288,-5
1203,0,11,264,MELON,36,36,205,146,-59
1203,0,11,288,MELON,72,78,60,4,-56
1203,0,11,504,MELON,30,30,7,4,-3
1203,0,11,624,WHEAT,4,4,45,45,0
1203,0,11,672,STRAWBERRY,36,24,291,287,-4
1203,0,11,681,STRAWBERRY,4,0,280,280,0
1203,0,11,682,STRAWBERRY,4,0,280,280,0
1203,0,11,683,STRAWBERRY,4,0,280,280,0
1203,0,11,684,STRAWBERRY,4,0,280,281,1
1203,0,11,696,WHEAT,2,8,47,46,-1
1203,0,11,701,WHEAT,3,0,46,46,0
1203,0,11,702,WHEAT,3,0,46,46,0
1203,0,11,703,WHEAT,3,0,46,46,0
1203,0,11,704,WHEAT,3,0,46,47,1
1203,0,11,706,STRAWBERRY,1,0,271,271,0
1203,0,11,707,STRAWBERRY,1,1,271,271,0
1203,0,11,708,STRAWBERRY,1,0,271,272,1
1203,0,11,716,STRAWBERRY,4,0,271,272,1
1203,1,01,264,MELON,89,18,244,232,-12
1203,1,01,288,MELON,60,96,76,4,-72
1203,1,01,504,MELON,1,18,1,4,3
1203,1,01,624,WHEAT,24,12,45,44,-1
1203,1,01,648,WHEAT,7,0,45,45,0
1203,1,01,672,STRAWBERRY,24,16,298,296,-2
1203,1,01,696,STRAWBERRY,28,32,293,288,-5
1203,1,11,264,MELON,36,36,205,146,-59
1203,1,11,288,MELON,72,78,60,4,-56
1203,1,11,504,MELON,30,30,7,4,-3
1203,1,11,624,WHEAT,4,4,45,45,0
1203,1,11,672,STRAWBERRY,36,24,291,287,-4
1203,1,11,681,STRAWBERRY,4,0,280,280,0
1203,1,11,682,STRAWBERRY,4,0,280,280,0
1203,1,11,683,STRAWBERRY,4,0,280,280,0
1203,1,11,684,STRAWBERRY,4,0,280,281,1
1203,1,11,696,WHEAT,2,8,47,46,-1
1203,1,11,701,WHEAT,3,0,46,46,0
1203,1,11,702,WHEAT,3,0,46,46,0
1203,1,11,703,WHEAT,3,0,46,46,0
1203,1,11,704,WHEAT,3,0,46,47,1
1203,1,11,706,STRAWBERRY,1,0,271,271,0
1203,1,11,707,STRAWBERRY,1,1,271,271,0
1203,1,11,708,STRAWBERRY,1,0,271,272,1
1203,1,11,716,STRAWBERRY,4,0,271,272,1
1204,0,01,264,MELON,89,18,244,232,-12
1204,0,01,288,MELON,60,96,76,4,-72
1204,0,01,504,MELON,1,18,1,4,3
1204,0,01,624,WHEAT,24,12,42,41,-1
1204,0,01,672,STRAWBERRY,16,24,307,303,-4
1204,0,01,696,STRAWBERRY,28,32,300,295,-5
1204,0,01,701,CARROT,2,0,58,58,0
1204,0,01,702,CARROT,2,0,58,58,0
1204,0,01,703,CARROT,4,0,58,58,0
1204,0,01,704,CARROT,4,0,58,59,1
1204,0,01,707,CARROT,2,0,58,58,0
1204,0,01,708,CARROT,2,0,58,59,1
1204,0,01,711,CARROT,2,0,58,58,0
1204,0,01,712,CARROT,2,0,58,59,1
1204,0,01,715,CARROT,2,0,58,58,0
1204,0,01,716,CARROT,2,0,58,59,1
1204,0,11,264,MELON,36,36,205,146,-59
1204,0,11,288,MELON,72,78,60,4,-56
1204,0,11,504,MELON,30,30,7,4,-3
1204,0,11,672,STRAWBERRY,36,20,312,309,-3
1204,0,11,696,CARROT,3,3,60,61,1
1204,0,11,696,STRAWBERRY,15,43,304,297,-7
1204,0,11,706,STRAWBERRY,4,0,295,295,0
1204,0,11,707,STRAWBERRY,4,0,295,295,0
1204,0,11,708,STRAWBERRY,4,0,295,296,1
1204,1,01,264,MELON,89,18,244,232,-12
1204,1,01,288,MELON,60,96,76,4,-72
1204,1,01,504,MELON,1,18,1,4,3
1204,1,01,624,WHEAT,24,12,42,41,-1
1204,1,01,672,STRAWBERRY,16,24,307,303,-4
1204,1,01,696,STRAWBERRY,28,32,300,295,-5
1204,1,01,701,CARROT,2,0,58,58,0
1204,1,01,702,CARROT,2,0,58,58,0
1204,1,01,703,CARROT,4,0,58,58,0
1204,1,01,704,CARROT,4,0,58,59,1
1204,1,01,707,CARROT,2,0,58,58,0
1204,1,01,708,CARROT,2,0,58,59,1
1204,1,01,711,CARROT,2,0,58,58,0
1204,1,01,712,CARROT,2,0,58,59,1
1204,1,01,715,CARROT,2,0,58,58,0
1204,1,01,716,CARROT,2,0,58,59,1
1204,1,11,264,MELON,36,36,205,146,-59
1204,1,11,288,MELON,72,78,60,4,-56
1204,1,11,504,MELON,30,30,7,4,-3
1204,1,11,672,STRAWBERRY,36,20,312,309,-3
1204,1,11,696,CARROT,3,3,60,61,1
1204,1,11,696,STRAWBERRY,15,43,304,297,-7
1204,1,11,706,STRAWBERRY,4,0,295,295,0
1204,1,11,707,STRAWBERRY,4,0,295,295,0
1204,1,11,708,STRAWBERRY,4,0,295,296,1
1205,0,01,264,MELON,89,18,244,232,-12
1205,0,01,288,MELON,60,96,76,4,-72
1205,0,01,504,MELON,1,18,1,4,3
1205,0,01,600,WHEAT,3,8,44,43,-1
1205,0,01,624,WHEAT,16,12,44,43,-1
1205,0,01,672,CARROT,6,3,61,62,1
1205,0,01,672,STRAWBERRY,20,20,283,280,-3
1205,0,01,696,CARROT,6,2,62,62,0
1205,0,01,696,STRAWBERRY,28,12,271,270,-1
1205,0,01,715,CARROT,2,0,62,62,0
1205,0,01,716,CARROT,2,0,62,63,1
1205,0,11,264,MELON,36,36,205,146,-59
1205,0,11,288,MELON,72,78,60,4,-56
1205,0,11,504,MELON,30,30,7,4,-3
1205,0,11,576,CARROT,3,6,59,59,0
1205,0,11,600,CARROT,5,9,61,60,-1
1205,0,11,672,CARROT,4,9,66,65,-1
1205,0,11,672,STRAWBERRY,36,24,294,290,-4
1205,0,11,681,STRAWBERRY,4,0,284,284,0
1205,0,11,682,STRAWBERRY,4,0,284,284,0
1205,0,11,683,STRAWBERRY,4,0,284,284,0
1205,0,11,684,STRAWBERRY,4,0,284,285,1
1205,0,11,689,CARROT,3,0,66,66,0
1205,0,11,689,STRAWBERRY,8,0,285,285,0
1205,0,11,690,CARROT,6,0,66,66,0
1205,0,11,690,STRAWBERRY,16,0,285,285,0
1205,0,11,691,CARROT,6,0,66,66,0
1205,0,11,691,STRAWBERRY,16,12,285,283,-2
1205,0,11,692,CARROT,6,0,66,67,1
1205,0,11,692,STRAWBERRY,16,0,283,284,1
1205,0,11,696,CARROT,2,0,66,67,1
1205,0,11,696,STRAWBERRY,4,16,276,274,-2
1205,0,11,705,STRAWBERRY,4,0,275,275,0
1205,0,11,706,STRAWBERRY,4,4,275,274,-1
1205,0,11,707,STRAWBERRY,4,4,274,273,-1
1205,0,11,708,STRAWBERRY,8,0,273,274,1
1205,1,01,264,MELON,89,18,244,232,-12
1205,1,01,288,MELON,60,96,76,4,-72
1205,1,01,504,MELON,1,18,1,4,3
1205,1,01,600,WHEAT,3,8,44,43,-1
1205,1,01,624,WHEAT,16,12,44,43,-1
1205,1,01,672,CARROT,6,3,61,62,1
1205,1,01,672,STRAWBERRY,20,20,283,280,-3
1205,1,01,696,CARROT,6,2,62,62,0
1205,1,01,696,STRAWBERRY,28,12,271,270,-1
1205,1,01,715,CARROT,2,0,62,62,0
1205,1,01,716,CARROT,2,0,62,63,1
1205,1,11,264,MELON,36,36,205,146,-59
1205,1,11,288,MELON,72,78,60,4,-56
1205,1,11,504,MELON,30,30,7,4,-3
1205,1,11,576,CARROT,3,6,59,59,0
1205,1,11,600,CARROT,5,9,61,60,-1
1205,1,11,672,CARROT,4,9,66,65,-1
1205,1,11,672,STRAWBERRY,36,24,294,290,-4
1205,1,11,681,STRAWBERRY,4,0,284,284,0
1205,1,11,682,STRAWBERRY,4,0,284,284,0
1205,1,11,683,STRAWBERRY,4,0,284,284,0
1205,1,11,684,STRAWBERRY,4,0,284,285,1
1205,1,11,689,CARROT,3,0,66,66,0
1205,1,11,689,STRAWBERRY,8,0,285,285,0
1205,1,11,690,CARROT,6,0,66,66,0
1205,1,11,690,STRAWBERRY,16,0,285,285,0
1205,1,11,691,CARROT,6,0,66,66,0
1205,1,11,691,STRAWBERRY,16,12,285,283,-2
1205,1,11,692,CARROT,6,0,66,67,1
1205,1,11,692,STRAWBERRY,16,0,283,284,1
1205,1,11,696,CARROT,2,0,66,67,1
1205,1,11,696,STRAWBERRY,4,16,276,274,-2
1205,1,11,705,STRAWBERRY,4,0,275,275,0
1205,1,11,706,STRAWBERRY,4,4,275,274,-1
1205,1,11,707,STRAWBERRY,4,4,274,273,-1
1205,1,11,708,STRAWBERRY,8,0,273,274,1
1206,0,01,264,MELON,89,18,244,232,-12
1206,0,01,288,MELON,60,96,76,4,-72
1206,0,01,504,MELON,1,18,1,4,3
1206,0,01,624,WHEAT,36,12,46,45,-1
1206,0,01,672,STRAWBERRY,24,16,293,291,-2
1206,0,01,696,STRAWBERRY,28,48,289,280,-9
1206,0,11,264,MELON,36,36,205,146,-59
1206,0,11,288,MELON,72,78,60,4,-56
1206,0,11,504,MELON,1,6,1,4,3
1206,0,11,624,WHEAT,12,4,45,45,0
1206,0,11,672,STRAWBERRY,35,24,274,269,-5
1206,0,11,683,STRAWBERRY,3,0,261,260,-1
1206,0,11,684,STRAWBERRY,3,0,260,261,1
1206,0,11,696,STRAWBERRY,16,8,250,249,-1
1206,0,11,712,STRAWBERRY,4,0,246,247,1
1206,1,01,264,MELON,89,18,244,232,-12
1206,1,01,288,MELON,60,96,76,4,-72
1206,1,01,504,MELON,1,18,1,4,3
1206,1,01,600,WHEAT,4,12,44,44,0
1206,1,01,624,WHEAT,30,8,45,44,-1
1206,1,01,672,STRAWBERRY,24,12,301,300,-1
1206,1,01,696,CARROT,2,0,50,51,1
1206,1,01,696,STRAWBERRY,28,24,294,291,-3
1206,1,01,699,CARROT,2,0,50,50,0
1206,1,01,700,CARROT,2,0,50,51,1
1206,1,01,706,CARROT,1,0,51,50,-1
1206,1,01,707,CARROT,1,0,50,50,0
1206,1,01,708,CARROT,1,0,50,51,1
1206,1,01,714,CARROT,1,0,51,50,-1
1206,1,01,715,CARROT,1,0,50,50,0
1206,1,01,716,CARROT,1,0,50,51,1
1206,1,11,264,MELON,36,36,205,146,-59
1206,1,11,288,MELON,72,78,60,4,-56
1206,1,11,504,MELON,1,6,1,4,3
1206,1,11,624,WHEAT,12,4,45,46,1
1206,1,11,672,STRAWBERRY,35,24,274,269,-5
1206,1,11,681,STRAWBERRY,3,0,262,261,-1
1206,1,11,682,STRAWBERRY,3,0,261,261,0
1206,1,11,683,STRAWBERRY,7,0,261,261,0
1206,1,11,684,STRAWBERRY,7,0,261,262,1
1206,1,11,691,STRAWBERRY,4,0,260,260,0
1206,1,11,692,STRAWBERRY,4,0,260,261,1
1206,1,11,696,STRAWBERRY,4,44,259,248,-11
1206,1,11,706,STRAWBERRY,1,0,249,249,0
1206,1,11,707,STRAWBERRY,1,0,249,249,0
1206,1,11,708,STRAWBERRY,1,0,249,250,1
1206,1,11,711,WHEAT,3,0,47,47,0
1206,1,11,712,WHEAT,3,0,47,48,1
1206,1,11,716,STRAWBERRY,4,0,248,249,1
