actual_stock_positive,arm,callbacks,cash_excess,cash_false_positive,cash_sale_lower,loose_excess,loose_false_positive,loose_sale_lower,opponent,product,sale_units,seat,seed,strictly_tighter
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1301,0
49,cash,719,2153,118,76,2153,118,76,relationship101,STRAWBERRY,76,1,1301,0
59,cash,719,35197,407,89,38446,407,74,relationship101,MELON,180,1,1301,431
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,1,1301,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,1,1301,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1301,0
123,bank,719,0,0,40,0,0,40,market10,CARROT,40,1,1301,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,1,1301,0
47,bank,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,1,1301,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,1,1301,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,1,1301,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,1,1301,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,1,1301,0
123,visible,719,0,0,40,0,0,40,market10,CARROT,40,1,1301,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,1,1301,0
47,visible,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,1,1301,0
57,visible,719,25884,409,124,32304,409,94,market10,MELON,186,1,1301,214
0,visible,719,0,0,0,0,0,0,market10,EGG,0,1,1301,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,1,1301,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,1,1301,0
123,history,719,0,0,40,0,0,40,market10,CARROT,40,1,1301,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,1,1301,0
47,history,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,1,1301,0
57,history,719,29754,409,114,37034,409,80,market10,MELON,186,1,1301,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,1,1301,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,1,1301,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,1,1301,0
123,cash,719,0,0,40,0,0,40,market10,CARROT,40,1,1301,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,1,1301,0
47,cash,719,2156,96,64,2156,96,64,market10,STRAWBERRY,64,1,1301,0
57,cash,719,29754,409,114,37034,409,80,market10,MELON,186,1,1301,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,1,1301,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,1,1301,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,1,1301,0
96,bank,719,0,0,38,0,0,38,relationship101,CARROT,38,0,1302,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1302,0
39,bank,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,0,1302,0
59,bank,719,35665,407,84,38240,407,72,relationship101,MELON,180,0,1302,429
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,0,1302,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,0,1302,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1302,0
96,visible,719,0,0,38,0,0,38,relationship101,CARROT,38,0,1302,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1302,0
39,visible,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,0,1302,0
59,visible,719,30076,407,98,30932,407,94,relationship101,MELON,180,0,1302,214
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,0,1302,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,0,1302,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1302,0
96,history,719,0,0,38,0,0,38,relationship101,CARROT,38,0,1302,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1302,0
39,history,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,0,1302,0
59,history,719,35451,407,85,38240,407,72,relationship101,MELON,180,0,1302,429
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,0,1302,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,0,1302,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1302,0
96,cash,719,0,0,38,0,0,38,relationship101,CARROT,38,0,1302,0
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1302,0
39,cash,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,0,1302,0
59,cash,719,35451,407,85,38240,407,72,relationship101,MELON,180,0,1302,429
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,0,1302,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,0,1302,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1302,0
130,bank,719,0,0,44,0,0,44,market10,CARROT,44,0,1302,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,0,1302,0
38,bank,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,0,1302,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,0,1302,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,0,1302,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,0,1302,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,0,1302,0
130,visible,719,0,0,44,0,0,44,market10,CARROT,44,0,1302,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,0,1302,0
38,visible,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,0,1302,0
57,visible,719,25884,409,124,32304,409,94,market10,MELON,186,0,1302,214
0,visible,719,0,0,0,0,0,0,market10,EGG,0,0,1302,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,0,1302,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,0,1302,0
130,history,719,0,0,44,0,0,44,market10,CARROT,44,0,1302,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,0,1302,0
38,history,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,0,1302,0
57,history,719,29754,409,114,37034,409,80,market10,MELON,186,0,1302,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,0,1302,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,0,1302,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,0,1302,0
130,cash,719,0,0,44,0,0,44,market10,CARROT,44,0,1302,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,0,1302,0
38,cash,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,0,1302,0
57,cash,719,29754,409,114,37034,409,80,market10,MELON,186,0,1302,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,0,1302,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,0,1302,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,0,1302,0
96,bank,719,0,0,38,0,0,38,relationship101,CARROT,38,1,1302,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1302,0
39,bank,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,1,1302,0
59,bank,719,35665,407,84,38240,407,72,relationship101,MELON,180,1,1302,429
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,1,1302,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,1,1302,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1302,0
96,visible,719,0,0,38,0,0,38,relationship101,CARROT,38,1,1302,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1302,0
39,visible,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,1,1302,0
59,visible,719,30076,407,98,30932,407,94,relationship101,MELON,180,1,1302,214
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,1,1302,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,1,1302,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1302,0
96,history,719,0,0,38,0,0,38,relationship101,CARROT,38,1,1302,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1302,0
39,history,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,1,1302,0
59,history,719,35451,407,85,38240,407,72,relationship101,MELON,180,1,1302,429
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,1,1302,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,1,1302,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1302,0
96,cash,719,0,0,38,0,0,38,relationship101,CARROT,38,1,1302,0
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1302,0
39,cash,719,3064,128,76,3064,128,76,relationship101,STRAWBERRY,76,1,1302,0
59,cash,719,35451,407,85,38240,407,72,relationship101,MELON,180,1,1302,429
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,1,1302,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,1,1302,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1302,0
130,bank,719,0,0,44,0,0,44,market10,CARROT,44,1,1302,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,1,1302,0
38,bank,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,1,1302,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,1,1302,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,1,1302,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,1,1302,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,1,1302,0
130,visible,719,0,0,44,0,0,44,market10,CARROT,44,1,1302,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,1,1302,0
38,visible,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,1,1302,0
57,visible,719,25884,409,124,32304,409,94,market10,MELON,186,1,1302,214
0,visible,719,0,0,0,0,0,0,market10,EGG,0,1,1302,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,1,1302,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,1,1302,0
130,history,719,0,0,44,0,0,44,market10,CARROT,44,1,1302,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,1,1302,0
38,history,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,1,1302,0
57,history,719,29754,409,114,37034,409,80,market10,MELON,186,1,1302,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,1,1302,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,1,1302,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,1,1302,0
130,cash,719,0,0,44,0,0,44,market10,CARROT,44,1,1302,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,1,1302,0
38,cash,719,2353,129,64,2353,129,64,market10,STRAWBERRY,64,1,1302,0
57,cash,719,29754,409,114,37034,409,80,market10,MELON,186,1,1302,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,1,1302,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,1,1302,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,1,1302,0
0,bank,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1303,0
47,bank,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,0,1303,0
59,bank,719,35665,407,84,38240,407,72,relationship101,MELON,180,0,1303,429
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,0,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,0,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1303,0
47,visible,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,0,1303,0
59,visible,719,30076,407,98,30932,407,94,relationship101,MELON,180,0,1303,214
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,0,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,0,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1303,0
0,history,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1303,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1303,0
47,history,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,0,1303,0
59,history,719,35451,407,85,38240,407,72,relationship101,MELON,180,0,1303,429
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,0,1303,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,0,1303,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1303,0
47,cash,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,0,1303,0
59,cash,719,35451,407,85,38240,407,72,relationship101,MELON,180,0,1303,429
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,0,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,0,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1303,0
0,bank,719,0,0,0,0,0,0,market10,CARROT,0,0,1303,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,0,1303,0
41,bank,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,0,1303,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,0,1303,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,0,1303,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,0,1303,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,0,1303,0
0,visible,719,0,0,0,0,0,0,market10,CARROT,0,0,1303,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,0,1303,0
41,visible,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,0,1303,0
57,visible,719,25648,409,125,32304,409,94,market10,MELON,186,0,1303,236
0,visible,719,0,0,0,0,0,0,market10,EGG,0,0,1303,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,0,1303,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,0,1303,0
0,history,719,0,0,0,0,0,0,market10,CARROT,0,0,1303,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,0,1303,0
41,history,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,0,1303,0
57,history,719,29733,409,115,37034,409,80,market10,MELON,186,0,1303,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,0,1303,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,0,1303,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,0,1303,0
0,cash,719,0,0,0,0,0,0,market10,CARROT,0,0,1303,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,0,1303,0
41,cash,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,0,1303,0
57,cash,719,29733,409,115,37034,409,80,market10,MELON,186,0,1303,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,0,1303,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,0,1303,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,0,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1303,0
47,bank,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,1,1303,0
59,bank,719,35665,407,84,38240,407,72,relationship101,MELON,180,1,1303,429
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,1,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,1,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1303,0
47,visible,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,1,1303,0
59,visible,719,30076,407,98,30932,407,94,relationship101,MELON,180,1,1303,214
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,1,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,1,1303,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1303,0
0,history,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1303,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1303,0
47,history,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,1,1303,0
59,history,719,35451,407,85,38240,407,72,relationship101,MELON,180,1,1303,429
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,1,1303,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,1,1303,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,CARROT,0,1,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,1,1303,0
47,cash,719,2159,120,76,2159,120,76,relationship101,STRAWBERRY,76,1,1303,0
59,cash,719,35451,407,85,38240,407,72,relationship101,MELON,180,1,1303,429
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,1,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,1,1303,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,1,1303,0
0,bank,719,0,0,0,0,0,0,market10,CARROT,0,1,1303,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,1,1303,0
41,bank,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,1,1303,0
57,bank,719,29712,409,116,36992,409,82,market10,MELON,186,1,1303,429
0,bank,719,0,0,0,0,0,0,market10,EGG,0,1,1303,0
0,bank,719,0,0,0,0,0,0,market10,MILK,0,1,1303,0
0,bank,719,0,0,0,0,0,0,market10,WOOL,0,1,1303,0
0,visible,719,0,0,0,0,0,0,market10,CARROT,0,1,1303,0
0,visible,719,0,0,0,0,0,0,market10,TOMATO,0,1,1303,0
41,visible,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,1,1303,0
57,visible,719,25648,409,125,32304,409,94,market10,MELON,186,1,1303,236
0,visible,719,0,0,0,0,0,0,market10,EGG,0,1,1303,0
0,visible,719,0,0,0,0,0,0,market10,MILK,0,1,1303,0
0,visible,719,0,0,0,0,0,0,market10,WOOL,0,1,1303,0
0,history,719,0,0,0,0,0,0,market10,CARROT,0,1,1303,0
0,history,719,0,0,0,0,0,0,market10,TOMATO,0,1,1303,0
41,history,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,1,1303,0
57,history,719,29733,409,115,37034,409,80,market10,MELON,186,1,1303,429
0,history,719,0,0,0,0,0,0,market10,EGG,0,1,1303,0
0,history,719,0,0,0,0,0,0,market10,MILK,0,1,1303,0
0,history,719,0,0,0,0,0,0,market10,WOOL,0,1,1303,0
0,cash,719,0,0,0,0,0,0,market10,CARROT,0,1,1303,0
0,cash,719,0,0,0,0,0,0,market10,TOMATO,0,1,1303,0
41,cash,719,1922,126,68,1922,126,68,market10,STRAWBERRY,68,1,1303,0
57,cash,719,29733,409,115,37034,409,80,market10,MELON,186,1,1303,429
0,cash,719,0,0,0,0,0,0,market10,EGG,0,1,1303,0
0,cash,719,0,0,0,0,0,0,market10,MILK,0,1,1303,0
0,cash,719,0,0,0,0,0,0,market10,WOOL,0,1,1303,0
0,bank,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1304,0
0,bank,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1304,0
37,bank,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,0,1304,0
59,bank,719,35665,407,84,38240,407,72,relationship101,MELON,180,0,1304,429
0,bank,719,0,0,0,0,0,0,relationship101,EGG,0,0,1304,0
0,bank,719,0,0,0,0,0,0,relationship101,MILK,0,0,1304,0
0,bank,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1304,0
37,visible,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,0,1304,0
59,visible,719,30076,407,98,30932,407,94,relationship101,MELON,180,0,1304,214
0,visible,719,0,0,0,0,0,0,relationship101,EGG,0,0,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,MILK,0,0,1304,0
0,visible,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1304,0
0,history,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1304,0
0,history,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1304,0
37,history,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,0,1304,0
59,history,719,35451,407,85,38240,407,72,relationship101,MELON,180,0,1304,429
0,history,719,0,0,0,0,0,0,relationship101,EGG,0,0,1304,0
0,history,719,0,0,0,0,0,0,relationship101,MILK,0,0,1304,0
0,history,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,CARROT,0,0,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,TOMATO,0,0,1304,0
37,cash,719,2180,130,68,2180,130,68,relationship101,STRAWBERRY,68,0,1304,0
59,cash,719,35451,407,85,38240,407,72,relationship101,MELON,180,0,1304,429
0,cash,719,0,0,0,0,0,0,relationship101,EGG,0,0,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,MILK,0,0,1304,0
0,cash,719,0,0,0,0,0,0,relationship101,WOOL,0,0,1304,0
0,bank,719,0,0,0,0,0,0,market10,CARROT,0,0,1304,0
0,bank,719,0,0,0,0,0,0,market10,TOMATO,0,0,1304,0
