feature,family,distinct_values_in_reference,status,availability
own.crop.CARROT.mean_age,crop_state,4,candidate_unscreened,current_agent_observation
own.crop.CARROT.harvestable_units,crop_state,3,candidate_unscreened,current_agent_observation
own.crop.CARROT.water_due,crop_state,2,candidate_unscreened,current_agent_observation
own.crop.CARROT.death_risk_today,crop_state,2,candidate_unscreened,current_agent_observation
own.crop.CARROT.bonus_water_opportunities,crop_state,2,candidate_unscreened,current_agent_observation
own.crop.CARROT.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.TOMATO.count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.TOMATO.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.TOMATO.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.TOMATO.water_due,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.TOMATO.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.TOMATO.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.TOMATO.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.STRAWBERRY.count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.STRAWBERRY.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.STRAWBERRY.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.STRAWBERRY.water_due,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.STRAWBERRY.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.STRAWBERRY.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.STRAWBERRY.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.MELON.count,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.MELON.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.MELON.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.MELON.water_due,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.MELON.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.MELON.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
own.crop.MELON.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
own.animal.GOOSE.count,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.GOOSE.yield_units,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.GOOSE.feed_due,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.GOOSE.escape_risk_today,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.GOOSE.fertilizer_available,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.GOOSE.care_bonus_banked,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.COW.count,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.COW.yield_units,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.COW.feed_due,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.COW.escape_risk_today,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.COW.fertilizer_available,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.COW.care_bonus_banked,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.SHEEP.count,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.SHEEP.yield_units,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.SHEEP.feed_due,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.SHEEP.escape_risk_today,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.SHEEP.fertilizer_available,animal_state,1,candidate_unscreened,current_agent_observation
own.animal.SHEEP.care_bonus_banked,animal_state,1,candidate_unscreened,current_agent_observation
opponent.cash,labor_land,50,candidate_unscreened,current_agent_observation
opponent.workers,labor_land,1,candidate_unscreened,current_agent_observation
opponent.empty_tiles,labor_land,9,candidate_unscreened,current_agent_observation
opponent.weed_tiles,labor_land,8,candidate_unscreened,current_agent_observation
opponent.unlocked_tiles,labor_land,1,candidate_unscreened,current_agent_observation
opponent.next_hire_cost,labor_land,1,candidate_unscreened,current_agent_observation
opponent.worker_turns_today,labor_land,24,candidate_unscreened,current_agent_observation
opponent.water_actions_due,labor_land,2,candidate_unscreened,current_agent_observation
opponent.feed_actions_due,labor_land,1,candidate_unscreened,current_agent_observation
opponent.shed_distance,labor_land,1,candidate_unscreened,current_agent_observation
opponent.crop.WHEAT.count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.WHEAT.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.WHEAT.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.WHEAT.water_due,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.WHEAT.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.WHEAT.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.WHEAT.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.CARROT.count,crop_state,2,candidate_unscreened,current_agent_observation
opponent.crop.CARROT.mean_age,crop_state,4,candidate_unscreened,current_agent_observation
opponent.crop.CARROT.harvestable_units,crop_state,3,candidate_unscreened,current_agent_observation
opponent.crop.CARROT.water_due,crop_state,2,candidate_unscreened,current_agent_observation
opponent.crop.CARROT.death_risk_today,crop_state,2,candidate_unscreened,current_agent_observation
opponent.crop.CARROT.bonus_water_opportunities,crop_state,2,candidate_unscreened,current_agent_observation
opponent.crop.CARROT.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.TOMATO.count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.TOMATO.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.TOMATO.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.TOMATO.water_due,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.TOMATO.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.TOMATO.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.TOMATO.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.STRAWBERRY.count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.STRAWBERRY.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.STRAWBERRY.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.STRAWBERRY.water_due,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.STRAWBERRY.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.STRAWBERRY.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.STRAWBERRY.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.MELON.count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.MELON.mean_age,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.MELON.harvestable_units,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.MELON.water_due,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.MELON.death_risk_today,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.MELON.bonus_water_opportunities,crop_state,1,candidate_unscreened,current_agent_observation
opponent.crop.MELON.fertilized_count,crop_state,1,candidate_unscreened,current_agent_observation
opponent.animal.GOOSE.count,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.GOOSE.yield_units,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.GOOSE.feed_due,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.GOOSE.escape_risk_today,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.GOOSE.fertilizer_available,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.GOOSE.care_bonus_banked,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.COW.count,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.COW.yield_units,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.COW.feed_due,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.COW.escape_risk_today,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.COW.fertilizer_available,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.COW.care_bonus_banked,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.SHEEP.count,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.SHEEP.yield_units,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.SHEEP.feed_due,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.SHEEP.escape_risk_today,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.SHEEP.fertilizer_available,animal_state,1,candidate_unscreened,current_agent_observation
opponent.animal.SHEEP.care_bonus_banked,animal_state,1,candidate_unscreened,current_agent_observation
