feature,family,distinct_development_values,minimum,maximum,nonzero_fraction,availability,status
market.WHEAT.normalized_price,market_curves,27,1.0,2.04,1.0,current_legal_observation,provisional_not_selected
market.WHEAT.normalized_supply,market_curves,517,-1.71,0.0,0.994475138121547,current_legal_observation,provisional_not_selected
market.WHEAT.one_unit_price_impact,market_curves,2,0.0,1.0,0.13691298342541436,current_legal_observation,provisional_not_selected
market.WHEAT.sell_5_revenue,market_curves,113,121.0,255.0,1.0,current_legal_observation,provisional_not_selected
market.WHEAT.sell_20_revenue,market_curves,360,467.0,1020.0,1.0,current_legal_observation,provisional_not_selected
demand.WHEAT.current_daily_units,town_demand,9,1.0,49.0,1.0,current_legal_observation,provisional_not_selected
inventory.WHEAT.shed,logistics,10,0.0,48.0,0.005870165745856353,current_legal_observation,provisional_not_selected
inventory.WHEAT.carried,logistics,18,0.0,48.0,0.028660220994475138,current_legal_observation,provisional_not_selected
inventory.WHEAT.immediate_sale_value,market_curves,17,0.0,2395.0,0.005870165745856353,current_legal_observation,provisional_not_selected
market.CARROT.price,market_curves,153,35.0,260.0,1.0,current_legal_observation,provisional_not_selected
market.CARROT.normalized_price,market_curves,153,1.0,7.428571428571429,1.0,current_legal_observation,provisional_not_selected
market.CARROT.normalized_supply,market_curves,613,-1.7644444444444445,0.0,0.994475138121547,current_legal_observation,provisional_not_selected
market.CARROT.one_unit_price_impact,market_curves,2,0.0,1.0,0.1051450276243094,current_legal_observation,provisional_not_selected
market.CARROT.sell_5_revenue,market_curves,353,168.0,1290.0,1.0,current_legal_observation,provisional_not_selected
market.CARROT.sell_20_revenue,market_curves,613,634.0,5010.0,1.0,current_legal_observation,provisional_not_selected
demand.CARROT.current_daily_units,town_demand,8,1.0,43.0,1.0,current_legal_observation,provisional_not_selected
inventory.CARROT.shed,logistics,15,0.0,33.0,0.015020718232044199,current_legal_observation,provisional_not_selected
inventory.CARROT.carried,logistics,17,0.0,36.0,0.07113259668508287,current_legal_observation,provisional_not_selected
inventory.CARROT.immediate_sale_value,market_curves,64,0.0,6995.0,0.015020718232044199,current_legal_observation,provisional_not_selected
market.TOMATO.price,market_curves,49,60.0,126.0,1.0,current_legal_observation,provisional_not_selected
market.TOMATO.normalized_price,market_curves,49,1.0,2.1,1.0,current_legal_observation,provisional_not_selected
market.TOMATO.normalized_supply,market_curves,213,-1.41,0.0,0.994475138121547,current_legal_observation,provisional_not_selected
market.TOMATO.one_unit_price_impact,market_curves,3,0.0,3.0,0.13225138121546962,current_legal_observation,provisional_not_selected
market.TOMATO.sell_5_revenue,market_curves,142,284.0,621.0,1.0,current_legal_observation,provisional_not_selected
market.TOMATO.sell_20_revenue,market_curves,213,1054.0,2362.0,1.0,current_legal_observation,provisional_not_selected
demand.TOMATO.current_daily_units,town_demand,4,1.0,19.0,1.0,current_legal_observation,provisional_not_selected
inventory.TOMATO.shed,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.TOMATO.carried,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.TOMATO.immediate_sale_value,market_curves,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
market.STRAWBERRY.price,market_curves,203,120.0,341.0,1.0,current_legal_observation,provisional_not_selected
market.STRAWBERRY.normalized_price,market_curves,203,1.0,2.841666666666667,1.0,current_legal_observation,provisional_not_selected
market.STRAWBERRY.normalized_supply,market_curves,549,-6.95,0.0,0.994475138121547,current_legal_observation,provisional_not_selected
market.STRAWBERRY.one_unit_price_impact,market_curves,6,0.0,8.0,0.5476519337016574,current_legal_observation,provisional_not_selected
market.STRAWBERRY.sell_5_revenue,market_curves,545,580.0,1705.0,1.0,current_legal_observation,provisional_not_selected
market.STRAWBERRY.sell_20_revenue,market_curves,549,2034.0,6798.0,1.0,current_legal_observation,provisional_not_selected
demand.STRAWBERRY.current_daily_units,town_demand,7,1.0,37.0,1.0,current_legal_observation,provisional_not_selected
inventory.STRAWBERRY.shed,logistics,13,0.0,39.0,0.005352209944751381,current_legal_observation,provisional_not_selected
inventory.STRAWBERRY.carried,logistics,13,0.0,36.0,0.01709254143646409,current_legal_observation,provisional_not_selected
inventory.STRAWBERRY.immediate_sale_value,market_curves,23,0.0,10732.0,0.005352209944751381,current_legal_observation,provisional_not_selected
market.MELON.price,market_curves,38,1.0,273.0,1.0,current_legal_observation,provisional_not_selected
market.MELON.normalized_price,market_curves,38,0.004,1.092,1.0,current_legal_observation,provisional_not_selected
market.MELON.normalized_supply,market_curves,41,-0.043333333333333335,0.5266666666666666,0.994475138121547,current_legal_observation,provisional_not_selected
market.MELON.one_unit_price_impact,market_curves,6,0.0,6.0,0.949585635359116,current_legal_observation,provisional_not_selected
market.MELON.sell_5_revenue,market_curves,41,5.0,1358.0,1.0,current_legal_observation,provisional_not_selected
market.MELON.sell_20_revenue,market_curves,41,20.0,5220.0,1.0,current_legal_observation,provisional_not_selected
demand.MELON.current_daily_units,town_demand,1,1.0,1.0,1.0,current_legal_observation,coverage_gap_constant
inventory.MELON.shed,logistics,14,0.0,100.0,0.019337016574585635,current_legal_observation,provisional_not_selected
inventory.MELON.carried,logistics,18,0.0,102.0,0.09116022099447514,current_legal_observation,provisional_not_selected
inventory.MELON.immediate_sale_value,market_curves,20,0.0,23066.0,0.019337016574585635,current_legal_observation,provisional_not_selected
market.EGG.price,market_curves,29,50.0,78.0,1.0,current_legal_observation,provisional_not_selected
market.EGG.normalized_price,market_curves,29,1.0,1.56,1.0,current_legal_observation,provisional_not_selected
market.EGG.normalized_supply,market_curves,272,-1.1746987951807228,0.0,0.994475138121547,current_legal_observation,provisional_not_selected
market.EGG.one_unit_price_impact,market_curves,2,0.0,1.0,0.06526243093922653,current_legal_observation,provisional_not_selected
market.EGG.sell_5_revenue,market_curves,99,242.0,389.0,1.0,current_legal_observation,provisional_not_selected
market.EGG.sell_20_revenue,market_curves,272,927.0,1527.0,1.0,current_legal_observation,provisional_not_selected
demand.EGG.current_daily_units,town_demand,5,1.0,25.0,1.0,current_legal_observation,provisional_not_selected
inventory.EGG.shed,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.EGG.carried,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.EGG.immediate_sale_value,market_curves,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
market.MILK.price,market_curves,183,160.0,361.0,1.0,current_legal_observation,provisional_not_selected
market.MILK.normalized_price,market_curves,183,1.0,2.25625,1.0,current_legal_observation,provisional_not_selected
market.MILK.normalized_supply,market_curves,406,-4.377049180327869,0.0,0.994475138121547,current_legal_observation,provisional_not_selected
market.MILK.one_unit_price_impact,market_curves,5,0.0,9.0,0.633114640883978,current_legal_observation,provisional_not_selected
market.MILK.sell_5_revenue,market_curves,406,780.0,1802.0,1.0,current_legal_observation,provisional_not_selected
market.MILK.sell_20_revenue,market_curves,406,2802.0,7181.0,1.0,current_legal_observation,provisional_not_selected
demand.MILK.current_daily_units,town_demand,6,1.0,31.0,1.0,current_legal_observation,provisional_not_selected
inventory.MILK.shed,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.MILK.carried,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.MILK.immediate_sale_value,market_curves,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
market.WOOL.price,market_curves,44,200.0,254.0,1.0,current_legal_observation,provisional_not_selected
market.WOOL.normalized_price,market_curves,44,1.0,1.27,1.0,current_legal_observation,provisional_not_selected
market.WOOL.normalized_supply,market_curves,426,-5.428571428571429,0.0,0.994475138121547,current_legal_observation,provisional_not_selected
market.WOOL.one_unit_price_impact,market_curves,5,0.0,6.0,0.3782803867403315,current_legal_observation,provisional_not_selected
market.WOOL.sell_5_revenue,market_curves,142,998.0,1270.0,1.0,current_legal_observation,provisional_not_selected
market.WOOL.sell_20_revenue,market_curves,323,3856.0,5080.0,1.0,current_legal_observation,provisional_not_selected
demand.WOOL.current_daily_units,town_demand,4,1.0,37.0,1.0,current_legal_observation,provisional_not_selected
inventory.WOOL.shed,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.WOOL.carried,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.WOOL.immediate_sale_value,market_curves,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
market.FERTILIZER.price,market_curves,1,100.0,100.0,1.0,current_legal_observation,coverage_gap_constant
market.FERTILIZER.normalized_price,market_curves,1,1.0,1.0,1.0,current_legal_observation,coverage_gap_constant
market.FERTILIZER.normalized_supply,market_curves,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
market.FERTILIZER.one_unit_price_impact,market_curves,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
market.FERTILIZER.sell_5_revenue,market_curves,1,498.0,498.0,1.0,current_legal_observation,coverage_gap_constant
market.FERTILIZER.sell_20_revenue,market_curves,1,1962.0,1962.0,1.0,current_legal_observation,coverage_gap_constant
demand.FERTILIZER.current_daily_units,town_demand,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.FERTILIZER.shed,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.FERTILIZER.carried,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.FERTILIZER.immediate_sale_value,market_curves,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.WHEAT.seeds,logistics,5,0.0,4.0,0.09823895027624309,current_legal_observation,provisional_not_selected
inventory.CARROT.seeds,logistics,5,0.0,4.0,0.18698204419889503,current_legal_observation,provisional_not_selected
inventory.TOMATO.seeds,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.STRAWBERRY.seeds,logistics,5,0.0,4.0,0.14727209944751382,current_legal_observation,provisional_not_selected
inventory.MELON.seeds,logistics,5,0.0,4.0,0.5069060773480663,current_legal_observation,provisional_not_selected
inventory.GOOSE.unplaced,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.COW.unplaced,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
inventory.SHEEP.unplaced,logistics,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.cash,labor_land,708,10.0,43680.0,1.0,current_legal_observation,provisional_not_selected
own.workers,labor_land,4,1.0,4.0,1.0,current_legal_observation,provisional_not_selected
own.empty_tiles,labor_land,21,0.0,25.0,0.4131560773480663,current_legal_observation,provisional_not_selected
own.weed_tiles,labor_land,10,0.0,10.0,0.14053867403314918,current_legal_observation,provisional_not_selected
own.unlocked_tiles,labor_land,1,25.0,25.0,1.0,current_legal_observation,coverage_gap_constant
own.next_hire_cost,labor_land,3,1.0,3.0,1.0,current_legal_observation,provisional_not_selected
own.worker_turns_today,labor_land,13,4.0,80.0,1.0,current_legal_observation,provisional_not_selected
own.water_actions_due,labor_land,26,0.0,25.0,0.9751381215469613,current_legal_observation,provisional_not_selected
own.feed_actions_due,labor_land,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.shed_distance,labor_land,9,0.0,8.0,0.819060773480663,current_legal_observation,provisional_not_selected
own.crop.WHEAT.count,crop_state,21,0.0,20.0,0.10928867403314917,current_legal_observation,provisional_not_selected
own.crop.WHEAT.mean_age,crop_state,88,0.0,4.0,0.10341850828729282,current_legal_observation,provisional_not_selected
own.crop.WHEAT.harvestable_units,crop_state,51,0.0,56.0,0.0868439226519337,current_legal_observation,provisional_not_selected
own.crop.WHEAT.water_due,crop_state,21,0.0,20.0,0.08425414364640885,current_legal_observation,provisional_not_selected
own.crop.WHEAT.death_risk_today,crop_state,4,0.0,3.0,0.013639502762430939,current_legal_observation,provisional_not_selected
own.crop.WHEAT.bonus_water_opportunities,crop_state,21,0.0,20.0,0.0555939226519337,current_legal_observation,provisional_not_selected
own.crop.WHEAT.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.CARROT.count,crop_state,21,0.0,20.0,0.18128453038674033,current_legal_observation,provisional_not_selected
own.crop.CARROT.mean_age,crop_state,150,0.0,3.0,0.17316988950276244,current_legal_observation,provisional_not_selected
own.crop.CARROT.harvestable_units,crop_state,36,0.0,40.0,0.14105662983425415,current_legal_observation,provisional_not_selected
own.crop.CARROT.water_due,crop_state,21,0.0,20.0,0.16142955801104972,current_legal_observation,provisional_not_selected
own.crop.CARROT.death_risk_today,crop_state,5,0.0,4.0,0.04212707182320442,current_legal_observation,provisional_not_selected
own.crop.CARROT.bonus_water_opportunities,crop_state,18,0.0,19.0,0.09979281767955801,current_legal_observation,provisional_not_selected
own.crop.CARROT.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.TOMATO.count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.TOMATO.mean_age,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.TOMATO.harvestable_units,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.TOMATO.water_due,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.TOMATO.death_risk_today,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.TOMATO.bonus_water_opportunities,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.TOMATO.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.STRAWBERRY.count,crop_state,18,0.0,17.0,0.5656077348066298,current_legal_observation,provisional_not_selected
own.crop.STRAWBERRY.mean_age,crop_state,182,0.0,17.0,0.5466160220994475,current_legal_observation,provisional_not_selected
own.crop.STRAWBERRY.harvestable_units,crop_state,45,0.0,49.0,0.243957182320442,current_legal_observation,provisional_not_selected
own.crop.STRAWBERRY.water_due,crop_state,18,0.0,17.0,0.5542127071823204,current_legal_observation,provisional_not_selected
own.crop.STRAWBERRY.death_risk_today,crop_state,10,0.0,11.0,0.08028314917127072,current_legal_observation,provisional_not_selected
own.crop.STRAWBERRY.bonus_water_opportunities,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.STRAWBERRY.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.crop.MELON.count,crop_state,23,0.0,25.0,0.7638121546961326,current_legal_observation,provisional_not_selected
own.crop.MELON.mean_age,crop_state,61,0.0,12.0,0.7361878453038674,current_legal_observation,provisional_not_selected
own.crop.MELON.harvestable_units,crop_state,60,0.0,150.0,0.15883977900552487,current_legal_observation,provisional_not_selected
own.crop.MELON.water_due,crop_state,26,0.0,25.0,0.6762776243093923,current_legal_observation,provisional_not_selected
own.crop.MELON.death_risk_today,crop_state,13,0.0,15.0,0.053522099447513814,current_legal_observation,provisional_not_selected
own.crop.MELON.bonus_water_opportunities,crop_state,22,0.0,25.0,0.3076657458563536,current_legal_observation,provisional_not_selected
own.crop.MELON.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.GOOSE.count,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.GOOSE.yield_units,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.GOOSE.feed_due,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.GOOSE.escape_risk_today,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.GOOSE.fertilizer_available,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.GOOSE.care_bonus_banked,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.COW.count,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.COW.yield_units,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.COW.feed_due,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.COW.escape_risk_today,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.COW.fertilizer_available,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.COW.care_bonus_banked,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.SHEEP.count,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.SHEEP.yield_units,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.SHEEP.feed_due,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.SHEEP.escape_risk_today,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.SHEEP.fertilizer_available,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
own.animal.SHEEP.care_bonus_banked,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.cash,labor_land,580,0.0,27277.0,0.9402624309392266,current_legal_observation,provisional_not_selected
opponent.workers,labor_land,4,1.0,4.0,1.0,current_legal_observation,provisional_not_selected
opponent.empty_tiles,labor_land,18,0.0,25.0,0.48066298342541436,current_legal_observation,provisional_not_selected
opponent.weed_tiles,labor_land,10,0.0,9.0,0.16816298342541436,current_legal_observation,provisional_not_selected
opponent.unlocked_tiles,labor_land,1,25.0,25.0,1.0,current_legal_observation,coverage_gap_constant
opponent.next_hire_cost,labor_land,3,1.0,3.0,1.0,current_legal_observation,provisional_not_selected
opponent.worker_turns_today,labor_land,14,4.0,80.0,1.0,current_legal_observation,provisional_not_selected
opponent.water_actions_due,labor_land,26,0.0,25.0,0.962707182320442,current_legal_observation,provisional_not_selected
opponent.feed_actions_due,labor_land,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.shed_distance,labor_land,9,0.0,8.0,0.8221685082872928,current_legal_observation,provisional_not_selected
opponent.crop.WHEAT.count,crop_state,14,0.0,13.0,0.10894337016574586,current_legal_observation,provisional_not_selected
opponent.crop.WHEAT.mean_age,crop_state,54,0.0,5.0,0.10169198895027624,current_legal_observation,provisional_not_selected
opponent.crop.WHEAT.harvestable_units,crop_state,35,0.0,36.0,0.08097375690607735,current_legal_observation,provisional_not_selected
opponent.crop.WHEAT.water_due,crop_state,14,0.0,13.0,0.09012430939226519,current_legal_observation,provisional_not_selected
opponent.crop.WHEAT.death_risk_today,crop_state,4,0.0,3.0,0.012603591160220995,current_legal_observation,provisional_not_selected
opponent.crop.WHEAT.bonus_water_opportunities,crop_state,14,0.0,13.0,0.05939226519337017,current_legal_observation,provisional_not_selected
opponent.crop.WHEAT.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.CARROT.count,crop_state,15,0.0,14.0,0.19630524861878454,current_legal_observation,provisional_not_selected
opponent.crop.CARROT.mean_age,crop_state,91,0.0,4.0,0.18128453038674033,current_legal_observation,provisional_not_selected
opponent.crop.CARROT.harvestable_units,crop_state,28,0.0,30.0,0.13225138121546962,current_legal_observation,provisional_not_selected
opponent.crop.CARROT.water_due,crop_state,15,0.0,14.0,0.16212016574585636,current_legal_observation,provisional_not_selected
opponent.crop.CARROT.death_risk_today,crop_state,4,0.0,3.0,0.03263121546961326,current_legal_observation,provisional_not_selected
opponent.crop.CARROT.bonus_water_opportunities,crop_state,14,0.0,13.0,0.09564917127071823,current_legal_observation,provisional_not_selected
opponent.crop.CARROT.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.TOMATO.count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.TOMATO.mean_age,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.TOMATO.harvestable_units,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.TOMATO.water_due,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.TOMATO.death_risk_today,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.TOMATO.bonus_water_opportunities,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.TOMATO.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.STRAWBERRY.count,crop_state,18,0.0,17.0,0.5773480662983426,current_legal_observation,provisional_not_selected
opponent.crop.STRAWBERRY.mean_age,crop_state,164,0.0,16.583333333333332,0.5524861878453039,current_legal_observation,provisional_not_selected
opponent.crop.STRAWBERRY.harvestable_units,crop_state,50,0.0,59.0,0.2541436464088398,current_legal_observation,provisional_not_selected
opponent.crop.STRAWBERRY.water_due,crop_state,18,0.0,17.0,0.5485151933701657,current_legal_observation,provisional_not_selected
opponent.crop.STRAWBERRY.death_risk_today,crop_state,16,0.0,16.0,0.12344613259668508,current_legal_observation,provisional_not_selected
opponent.crop.STRAWBERRY.bonus_water_opportunities,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.STRAWBERRY.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.crop.MELON.count,crop_state,22,0.0,25.0,0.6265538674033149,current_legal_observation,provisional_not_selected
opponent.crop.MELON.mean_age,crop_state,18,0.0,13.0,0.5989295580110497,current_legal_observation,provisional_not_selected
opponent.crop.MELON.harvestable_units,crop_state,34,0.0,150.0,0.15970303867403315,current_legal_observation,provisional_not_selected
opponent.crop.MELON.water_due,crop_state,21,0.0,25.0,0.5832182320441989,current_legal_observation,provisional_not_selected
opponent.crop.MELON.death_risk_today,crop_state,6,0.0,5.0,0.03280386740331492,current_legal_observation,provisional_not_selected
opponent.crop.MELON.bonus_water_opportunities,crop_state,10,0.0,25.0,0.22496546961325967,current_legal_observation,provisional_not_selected
opponent.crop.MELON.fertilized_count,crop_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.GOOSE.count,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.GOOSE.yield_units,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.GOOSE.feed_due,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.GOOSE.escape_risk_today,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.GOOSE.fertilizer_available,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.GOOSE.care_bonus_banked,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.COW.count,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.COW.yield_units,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.COW.feed_due,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.COW.escape_risk_today,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.COW.fertilizer_available,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.COW.care_bonus_banked,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.SHEEP.count,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.SHEEP.yield_units,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.SHEEP.feed_due,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.SHEEP.escape_risk_today,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.SHEEP.fertilizer_available,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
opponent.animal.SHEEP.care_bonus_banked,animal_state,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
storage.free_before_market,storage_interactions,37,0.0,100.0,0.9986187845303868,current_legal_observation,provisional_not_selected
storage.free_after_sell_all,storage_interactions,1,100.0,100.0,1.0,current_legal_observation,coverage_gap_constant
storage.night_overflow_if_pass,storage_interactions,2,0.0,2.0,0.0013812154696132596,current_legal_observation,provisional_not_selected
storage.night_overflow_after_sell_all,storage_interactions,2,0.0,2.0,0.0013812154696132596,current_legal_observation,provisional_not_selected
storage.ready_wave_overflow_after_sell_all,storage_interactions,19,0.0,50.0,0.0649171270718232,current_legal_observation,provisional_not_selected
storage.carried_plus_ready_units,storage_interactions,107,0.0,150.0,0.42714088397790057,current_legal_observation,provisional_not_selected
storage.ready_wave_units,storage_interactions,101,0.0,150.0,0.40124309392265195,current_legal_observation,provisional_not_selected
storage.nonsellable_capacity_lock,storage_interactions,1,0.0,0.0,0.0,current_legal_observation,coverage_gap_constant
storage.carry_fraction_of_capacity,storage_interactions,42,0.0,1.02,0.1983770718232044,current_legal_observation,provisional_not_selected
capital.receipt_wait_scenario_actions,cashflow,84,2.0,238.0,1.0,current_legal_observation,provisional_not_selected
capital.staffing_days_scenario,cashflow,10,1.0,10.0,1.0,current_legal_observation,provisional_not_selected
capital.daily_full_staff_cost,cashflow,1,4.0,4.0,1.0,current_legal_observation,coverage_gap_constant
capital.labor_reserve,cashflow,21,4.0,44.0,1.0,current_legal_observation,provisional_not_selected
