arm,candidate_actions_sha256,candidate_observations_sha256,opponent,seat,seed
cash,485e07346eb9425e165be73a136b1294a9cb7467535579c20b21e47e8d8d00f6,8d5ba6d05939eaf774099ac484c0bbc9c840a47e4548249fe2fae7c984fd2480,relationship101,0,1302
bank,1af1f5b8e38297ee7039f39c73b824c9f309780abbc028dfe34bc930aa44f349,1306398e89af02afd3884ce254a444a52c9185453aaf5740ae74936cdf449d6f,market10,0,1302
visible,bbf53eb4e6f3b112be6f2e11b28c8c78d50fec7f40944eafab65669c3e43be44,a9754390769f1218ea8d926cf033c14997611e01b82bb659a34994f943c6e01d,market10,0,1302
history,b80ff4671ed344bb2a131f2d0bc46316866e1a6fb54137a1c31f28c466d32075,5035f054e136ff29a41404101492e528c8a81caff958723c3431a318d48b1da9,market10,0,1302
cash,b80ff4671ed344bb2a131f2d0bc46316866e1a6fb54137a1c31f28c466d32075,5035f054e136ff29a41404101492e528c8a81caff958723c3431a318d48b1da9,market10,0,1302
bank,f7dc824158a071c0fd20e28fd6271e44b016ce6937722cc68b15c08c8dc02760,1eb09092ee4618a68bc5ee2d3e8d372d6f8cd4b80e5ed1a79f5bfa74e08d1b38,relationship101,1,1302
visible,7e9c6cb85cf10753a0fdccff929b8b04603100aafe89b702102a299e09f645d3,a05137ed22b16078546178b44363fbf531149531e0499dcc8daeb3383e61df5c,relationship101,1,1302
history,485e07346eb9425e165be73a136b1294a9cb7467535579c20b21e47e8d8d00f6,b09bf0eb17617cdf3d99f57120ee700154855342db804b058b64b10e41acbdfa,relationship101,1,1302
cash,485e07346eb9425e165be73a136b1294a9cb7467535579c20b21e47e8d8d00f6,b09bf0eb17617cdf3d99f57120ee700154855342db804b058b64b10e41acbdfa,relationship101,1,1302
bank,1af1f5b8e38297ee7039f39c73b824c9f309780abbc028dfe34bc930aa44f349,c6120f5ca5d348ff48e7eb58c208cfee568ea38e6226c6c3ef1f48710f25cea4,market10,1,1302
visible,bbf53eb4e6f3b112be6f2e11b28c8c78d50fec7f40944eafab65669c3e43be44,c7c7a0b4be765e3da1f2b7f3b67ba2a54f9a079b4f3a64607851151a6fc70797,market10,1,1302
history,b80ff4671ed344bb2a131f2d0bc46316866e1a6fb54137a1c31f28c466d32075,e0c9f62e8ee395c6907e2a38f9d4aad191643985d252d2086a206ff74f4a583b,market10,1,1302
cash,b80ff4671ed344bb2a131f2d0bc46316866e1a6fb54137a1c31f28c466d32075,e0c9f62e8ee395c6907e2a38f9d4aad191643985d252d2086a206ff74f4a583b,market10,1,1302
bank,8b1b3e6e55ed79aa11460246875def5ac67074d98d377c22687f420553b12994,20486fb6f45af4b8adaa5e840c2234be5d88f0b0d458e5c2a61a1c8641845b83,relationship101,0,1303
visible,103131bc83fd95b1f81564ab92d9955e781a6359ebcad86889963ae0ac1ddae0,c20806b0585ab84b00ed9a91fd182c181d98c4e6bc2e6490eee914b03fa732bf,relationship101,0,1303
history,a687b026492ea346f2956d9584bc42c852b73aa3a2e9b62043ec4433ba99346a,13244b5aeef0e86ea7a83e987b651d47e6334708f6f23ebdd87e03b233d121e7,relationship101,0,1303
cash,a687b026492ea346f2956d9584bc42c852b73aa3a2e9b62043ec4433ba99346a,13244b5aeef0e86ea7a83e987b651d47e6334708f6f23ebdd87e03b233d121e7,relationship101,0,1303
bank,9a668c62e76d25027257de5d49fa2d77a95f913a1f5772f1a1b76ad57e01c7bf,1c9f84a8396d3b9d9f7bfb96115514be71a06090a8b060f040cfa393bd154666,market10,0,1303
visible,99f2930969f3cd811d0b9f96ca9c8a19583539d7869496ce2ec8cdf181e1f8a7,830b31200d76ab41d5804663e73b883bbe784ce9eb60d56d51d5644ff5cff481,market10,0,1303
history,7c13841b57f68cdea588ee375a3f25050ab7963fa0f9d15ebec89e94b67f039a,759cd7a7f8d70f42e591e9b15e0995156fa10377fe2062b437354438562b748f,market10,0,1303
cash,7c13841b57f68cdea588ee375a3f25050ab7963fa0f9d15ebec89e94b67f039a,759cd7a7f8d70f42e591e9b15e0995156fa10377fe2062b437354438562b748f,market10,0,1303
bank,8b1b3e6e55ed79aa11460246875def5ac67074d98d377c22687f420553b12994,620da586c647ca0e837c4983fe9920a4df8b9413f7fc3e9241207ab76bf6f792,relationship101,1,1303
visible,103131bc83fd95b1f81564ab92d9955e781a6359ebcad86889963ae0ac1ddae0,0dce76e49b96a221b2cf0af32291ba88a72f0da61c608048f61f093ce853621e,relationship101,1,1303
history,a687b026492ea346f2956d9584bc42c852b73aa3a2e9b62043ec4433ba99346a,6cf07aa15a8a4d9b4134e3e524fb0781746bf880cd4d8ed2e6d313ba662a9b84,relationship101,1,1303
cash,a687b026492ea346f2956d9584bc42c852b73aa3a2e9b62043ec4433ba99346a,6cf07aa15a8a4d9b4134e3e524fb0781746bf880cd4d8ed2e6d313ba662a9b84,relationship101,1,1303
bank,9a668c62e76d25027257de5d49fa2d77a95f913a1f5772f1a1b76ad57e01c7bf,0de660d473d234f24e00950bd65330e1dc90cad7b46efd0ae211a1d0e0b8ef20,market10,1,1303
visible,99f2930969f3cd811d0b9f96ca9c8a19583539d7869496ce2ec8cdf181e1f8a7,22bd54d3d8ae0cd83f883121ae6bb117f50b9c3695bb3ed91066c6e992952312,market10,1,1303
history,7c13841b57f68cdea588ee375a3f25050ab7963fa0f9d15ebec89e94b67f039a,d5e2664d9dd75244476f17118d859c369ae860fb7f09a3d6249e3d3be984c196,market10,1,1303
cash,7c13841b57f68cdea588ee375a3f25050ab7963fa0f9d15ebec89e94b67f039a,d5e2664d9dd75244476f17118d859c369ae860fb7f09a3d6249e3d3be984c196,market10,1,1303
bank,3bfa8e0499cb7b463b7e84d99dec0c30c847a1fa49b95e4730863be208ad13fa,29f5ecaa06bd6b1a9add0fd85c40ae43654811d9d51259ed2ca31b96518d324d,relationship101,0,1304
visible,052777f03c3725e85370f83d5f9880141b5be72e8c0bae8e5d97e5fdeb56a2a8,781d3134e1b260e9b31e8da55895e271b75cb7ac128890d4dec0e9980bb6dc91,relationship101,0,1304
history,fdcdb3a90fecd4a3f2f2021caa99808f2709c5dd1050318faf78bf63a8c5d7a1,8a5f43278707a55b69a487f64ec98996bc5cb107b804e8048ab16a8d28957647,relationship101,0,1304
cash,fdcdb3a90fecd4a3f2f2021caa99808f2709c5dd1050318faf78bf63a8c5d7a1,8a5f43278707a55b69a487f64ec98996bc5cb107b804e8048ab16a8d28957647,relationship101,0,1304
bank,87c2e6af537bff1ceb92d367c5a72356eb58fcae0e34a5f8b8f6c619cc78b403,2fdea16d047e5dbe3a735f264c93ae2511f4761e85bb2b19a6fd57d9ce46df5b,market10,0,1304
visible,50d7605bad77e3df0e0567d217d8478edb91c561ee4716a65a4571d2a4c01b02,be7bbdfdf9a37c316e94a82135e203b664eb6f15333df5304a5d571bca0c4598,market10,0,1304
history,c36e97621847e4542789970a7ae268a85ac4374a4a9bcba82428500a8b208d36,45c0a302da62de66861926fef26df803a1d819825219166fda7cb2be0c3524f2,market10,0,1304
cash,c36e97621847e4542789970a7ae268a85ac4374a4a9bcba82428500a8b208d36,45c0a302da62de66861926fef26df803a1d819825219166fda7cb2be0c3524f2,market10,0,1304
bank,3bfa8e0499cb7b463b7e84d99dec0c30c847a1fa49b95e4730863be208ad13fa,1bae9cb3836214e0e5b64a90bc6018795aacf2503fd94884762913b104099af0,relationship101,1,1304
visible,052777f03c3725e85370f83d5f9880141b5be72e8c0bae8e5d97e5fdeb56a2a8,2c4398dfc20e67aa6ec5910b8bb7739caa6632c5c70d6e174ce6f52cfa33a74d,relationship101,1,1304
history,fdcdb3a90fecd4a3f2f2021caa99808f2709c5dd1050318faf78bf63a8c5d7a1,6be6ed2b7b12523bf46a3be9262d64fb0972ab40e81ea4292b149c76bf05ad41,relationship101,1,1304
cash,fdcdb3a90fecd4a3f2f2021caa99808f2709c5dd1050318faf78bf63a8c5d7a1,6be6ed2b7b12523bf46a3be9262d64fb0972ab40e81ea4292b149c76bf05ad41,relationship101,1,1304
bank,87c2e6af537bff1ceb92d367c5a72356eb58fcae0e34a5f8b8f6c619cc78b403,7c2607c2af65ba62caa0781da4aeec86c2862ff1170207d498d126c8129aec9b,market10,1,1304
visible,50d7605bad77e3df0e0567d217d8478edb91c561ee4716a65a4571d2a4c01b02,c3ee09f62c7b80e9bf8385d1b5435250c269b4e324afb16e0c15635e70a9cd19,market10,1,1304
history,c36e97621847e4542789970a7ae268a85ac4374a4a9bcba82428500a8b208d36,91062ac10bd473748f5bb560cf2b666f95cbea4b91190fb2c6d5a82026fec54a,market10,1,1304
cash,c36e97621847e4542789970a7ae268a85ac4374a4a9bcba82428500a8b208d36,91062ac10bd473748f5bb560cf2b666f95cbea4b91190fb2c6d5a82026fec54a,market10,1,1304
