seed,seat,day,starter_cash,cash_lead,carrot_price,carrot_demand
1104,0,4,2940.0,-60.0,36.0,13.0
1104,0,5,3012.0,12.0,37.0,13.0
1104,0,6,3012.0,12.0,38.0,13.0
1104,0,7,2992.0,-8.0,39.0,13.0
1104,0,8,3070.0,70.0,40.0,13.0
1104,0,9,3070.0,70.0,41.0,13.0
1104,0,10,3050.0,50.0,42.0,13.0
1104,0,11,3134.0,134.0,43.0,13.0
1104,0,12,3134.0,134.0,44.0,13.0
1104,0,13,3114.0,114.0,45.0,13.0
1104,0,14,3204.0,204.0,46.0,13.0
1104,0,15,3204.0,204.0,47.0,25.0
1104,0,16,3184.0,184.0,49.0,25.0
1104,0,17,3282.0,282.0,50.0,25.0
1104,0,18,3282.0,282.0,52.0,25.0
1104,0,19,3262.0,262.0,54.0,25.0
1104,0,20,3370.0,370.0,56.0,25.0
1104,0,21,3370.0,370.0,58.0,25.0
1104,0,22,3350.0,350.0,60.0,25.0
1104,0,23,3470.0,470.0,62.0,25.0
1104,0,24,3470.0,470.0,64.0,37.0
1104,0,25,3450.0,450.0,67.0,37.0
1104,0,26,3584.0,584.0,69.0,37.0
1104,0,27,3584.0,584.0,73.0,37.0
1104,0,28,3564.0,564.0,81.0,37.0
1104,0,29,3726.0,726.0,92.0,37.0
1104,1,0,3000.0,0.0,35.0,1.0
1104,1,1,2960.0,-40.0,35.0,1.0
1104,1,2,2960.0,-40.0,35.0,1.0
1104,1,3,2960.0,-40.0,35.0,13.0
1104,1,4,2940.0,-60.0,36.0,13.0
1104,1,5,3012.0,12.0,37.0,13.0
1104,1,6,3012.0,12.0,38.0,13.0
1104,1,7,2992.0,-8.0,39.0,13.0
1104,1,8,3070.0,70.0,40.0,13.0
1104,1,9,3070.0,70.0,41.0,13.0
1104,1,10,3050.0,50.0,42.0,13.0
1104,1,11,3134.0,134.0,43.0,13.0
1104,1,12,3134.0,134.0,44.0,13.0
1104,1,13,3114.0,114.0,45.0,13.0
1104,1,14,3204.0,204.0,46.0,13.0
1104,1,15,3204.0,204.0,47.0,25.0
1104,1,16,3184.0,184.0,49.0,25.0
1104,1,17,3282.0,282.0,50.0,25.0
1104,1,18,3282.0,282.0,52.0,25.0
1104,1,19,3262.0,262.0,54.0,25.0
1104,1,20,3370.0,370.0,56.0,25.0
1104,1,21,3370.0,370.0,58.0,25.0
1104,1,22,3350.0,350.0,60.0,25.0
1104,1,23,3470.0,470.0,62.0,25.0
1104,1,24,3470.0,470.0,64.0,37.0
1104,1,25,3450.0,450.0,67.0,37.0
1104,1,26,3584.0,584.0,69.0,37.0
1104,1,27,3584.0,584.0,73.0,37.0
1104,1,28,3564.0,564.0,81.0,37.0
1104,1,29,3726.0,726.0,92.0,37.0
