round,level,feature,definition,availability,role,status
19,worker_option,score_multiplier,"Candidate score divided by the unchanged native score; activation diagnostic, not importance.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,hours_left,Hours left; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,decisions_left,Decisions left; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,arrival_today,Arrival today; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,delivery_before_refresh,Delivery before refresh; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,terminal_slack,Terminal slack; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,shed_free,Shed free; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,own_carried_units,Own carried units; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,same_product_in_shed,Same product in shed; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,own_worker_count,Own worker count; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,alternative_worker_count,Alternative worker count; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,nearest_other_travel,Nearest other travel; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,exclusive_access,Exclusive access; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,one_sided_liquidation,Standalone sale path using current market inventory and floor semantics; not a competitor-aware prediction.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,worker_option,conditional_value_per_callback,"Current one-sided liquidation value divided by earliest sale completion callbacks, assuming successful future delivery.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,task_options,"Worker-task pairs, not independent observations or distinct resources.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,unique_tasks,"Distinct current (x,y,operation) tasks, avoiding worker duplication.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,worker_count,Worker count; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,collection_candidates,Collection candidates; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,night_delivery_options,Night delivery options; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,manual_delivery_options,Manual delivery options; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,unavailable_options,No admitted same-day manual or next-callback-after-reset sale path.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,mean_completion_callbacks,Mean completion callbacks; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,mean_score_multiplier,Mean score multiplier; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,min_score_multiplier,Min score multiplier; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,positive_stock_options,Positive stock options; deterministically computed from current own observation. See the named expression in collection_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
19,state_summary,capacity_stress_options,Current collection units exceed snapshot shed room; future capacity is not predicted.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
