feature,distinct_values,minimum,maximum,nonzero_fraction,role,value_status
cash.product.EGG.solo_revenue_delta,2,0.0,86.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.uncovered_sellable_units,2,0.0,2.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.EGG.undercoverage_present,2,0.0,1.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.shed_before,3,0.0,5.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.shed_after,5,0.0,6.0,0.13043478260869565,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.shed_delta,3,0.0,4.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.control_sell_requested,5,0.0,6.0,0.13043478260869565,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.aligned_sell_requested,5,0.0,6.0,0.13043478260869565,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.control_sellable_units,4,0.0,6.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.aligned_sellable_units,5,0.0,6.0,0.13043478260869565,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.sellable_units_delta,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.control_residual_units,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.control_solo_revenue,4,0.0,299.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.aligned_solo_revenue,5,0.0,299.0,0.13043478260869565,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.solo_revenue_delta,2,0.0,100.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.uncovered_sellable_units,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.FERTILIZER.undercoverage_present,2,0.0,1.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.shed_before,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.shed_after,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.shed_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.control_sell_requested,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.aligned_sell_requested,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.control_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.aligned_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.sellable_units_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.control_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.control_solo_revenue,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.aligned_solo_revenue,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.solo_revenue_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.uncovered_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MELON.undercoverage_present,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.shed_before,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.shed_after,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.shed_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.control_sell_requested,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.aligned_sell_requested,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.control_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.aligned_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.sellable_units_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.control_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.control_solo_revenue,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.aligned_solo_revenue,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.solo_revenue_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.uncovered_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.MILK.undercoverage_present,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.shed_before,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.shed_after,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.shed_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.control_sell_requested,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.aligned_sell_requested,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.control_sellable_units,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.aligned_sellable_units,2,0.0,2.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.sellable_units_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.control_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.control_solo_revenue,2,0.0,522.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.aligned_solo_revenue,2,0.0,522.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.solo_revenue_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.uncovered_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.STRAWBERRY.undercoverage_present,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.shed_before,3,0.0,4.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.shed_after,3,0.0,4.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.shed_delta,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.control_sell_requested,3,0.0,4.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.aligned_sell_requested,3,0.0,4.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.control_sellable_units,3,0.0,4.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.aligned_sellable_units,3,0.0,4.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.sellable_units_delta,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.control_residual_units,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.control_solo_revenue,3,0.0,335.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.aligned_solo_revenue,4,0.0,335.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.solo_revenue_delta,2,0.0,332.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.uncovered_sellable_units,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.TOMATO.undercoverage_present,2,0.0,1.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.shed_before,3,0.0,12.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.shed_after,3,0.0,12.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.shed_delta,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.control_sell_requested,3,0.0,12.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.aligned_sell_requested,3,0.0,12.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.control_sellable_units,3,0.0,12.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.aligned_sellable_units,3,0.0,12.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.sellable_units_delta,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.control_residual_units,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.control_solo_revenue,3,0.0,588.0,0.06521739130434782,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.aligned_solo_revenue,3,0.0,588.0,0.10869565217391304,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.solo_revenue_delta,2,0.0,196.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.uncovered_sellable_units,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WHEAT.undercoverage_present,2,0.0,1.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.shed_before,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.shed_after,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.shed_delta,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.control_sell_requested,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.aligned_sell_requested,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.control_sellable_units,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.aligned_sellable_units,2,0.0,4.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.sellable_units_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.control_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.aligned_residual_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.control_solo_revenue,2,0.0,987.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.aligned_solo_revenue,2,0.0,987.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.solo_revenue_delta,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.aligned_rule_reserve_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.uncovered_sellable_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.product.WOOL.undercoverage_present,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.remaining_decisions,23,1.0,23.0,1.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.final_callback,2,0.0,1.0,0.043478260869565216,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.workers,4,1.0,4.0,1.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.shed_units_before,4,0.0,25.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.shed_units_after,6,0.0,25.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.control_sell_orders,4,0.0,5.0,0.2391304347826087,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.aligned_sell_orders,5,0.0,5.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.uncovered_sellable_units,3,0.0,12.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.control_solo_revenue,6,0.0,1710.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.aligned_solo_revenue,6,0.0,1710.0,0.15217391304347827,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.solo_revenue_delta,3,0.0,714.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.control_residual_product_units,3,0.0,12.0,0.08695652173913043,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.aligned_residual_product_units,1,0.0,0.0,0.0,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
cash.market_orders_changed,2,0.0,1.0,0.17391304347826086,unchanged_cash_intervention_representation,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.callbacks_remaining,23,1.0,23.0,1.0,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.shed_product_units,4,0.0,25.0,0.08695652173913043,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.carried_product_units,10,0.0,22.0,0.8260869565217391,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.individually_deliverable_carried_units,10,0.0,22.0,0.8260869565217391,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.deadline_blocked_carried_units,1,0.0,0.0,0.0,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.shed_liquidation_scenario_value,4,0.0,1710.0,0.08695652173913043,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.deliverable_cargo_marginal_scenario_value,13,0.0,1986.0,0.8260869565217391,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.deadline_blocked_cargo_marginal_scenario_value,1,0.0,0.0,0.0,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.shed_room_before_actions,4,75.0,100.0,1.0,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.optimistic_delivery_overflow_units,1,0.0,0.0,0.0,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.workers_with_product_cargo,4,0.0,3.0,0.8260869565217391,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
terminal_context.workers_missing_delivery_deadline,1,0.0,0.0,0.0,new_candidate_diagnostic_only,NO_INDIVIDUAL_PREDICTIVE_ABLATION
