feature,distinct_values,nonzero_fraction,minimum,maximum,episodes_with_variation,status
own.water.unique_worker_access,3,0.055900621118012424,0.0,5.0,7,candidate_not_ablated
own.water.multiple_worker_access,6,0.8198757763975155,0.0,5.0,7,candidate_not_ablated
own.water.best_worker_loss_distance_gap_mean,23,0.7329192546583851,0.0,2.8,7,candidate_not_ablated
own.feed.count,1,1.0,6.0,6.0,0,candidate_not_ablated
own.feed.urgent_count,1,1.0,2.0,2.0,0,candidate_not_ablated
own.feed.nearest_actions_mean,8,1.0,1.3333333333333333,2.5,7,candidate_not_ablated
own.feed.nearest_actions_max,3,1.0,2.0,4.0,7,candidate_not_ablated
own.feed.independent_unreachable_today,6,0.08695652173913043,0.0,5.0,7,candidate_not_ablated
own.feed.unique_worker_access,5,0.08074534161490683,0.0,6.0,7,candidate_not_ablated
own.feed.multiple_worker_access,6,0.9503105590062112,0.0,6.0,7,candidate_not_ablated
own.feed.best_worker_loss_distance_gap_mean,10,0.8074534161490683,0.0,1.5,7,candidate_not_ablated
own.care.count,1,1.0,6.0,6.0,0,candidate_not_ablated
own.care.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
own.care.nearest_actions_mean,8,1.0,1.3333333333333333,2.5,7,candidate_not_ablated
own.care.nearest_actions_max,3,1.0,2.0,4.0,7,candidate_not_ablated
own.care.independent_unreachable_today,6,0.08695652173913043,0.0,5.0,7,candidate_not_ablated
own.care.unique_worker_access,5,0.08074534161490683,0.0,6.0,7,candidate_not_ablated
own.care.multiple_worker_access,6,0.9503105590062112,0.0,6.0,7,candidate_not_ablated
own.care.best_worker_loss_distance_gap_mean,10,0.8074534161490683,0.0,1.5,7,candidate_not_ablated
own.weed.count,4,1.0,2.0,6.0,2,candidate_not_ablated
own.weed.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
own.weed.nearest_actions_mean,19,1.0,2.3333333333333335,6.333333333333333,7,candidate_not_ablated
own.weed.nearest_actions_max,6,1.0,3.0,8.0,7,candidate_not_ablated
own.weed.independent_unreachable_today,6,0.14285714285714285,0.0,6.0,7,candidate_not_ablated
own.weed.unique_worker_access,6,0.13664596273291926,0.0,6.0,7,candidate_not_ablated
own.weed.multiple_worker_access,7,0.8385093167701864,0.0,6.0,7,candidate_not_ablated
own.weed.best_worker_loss_distance_gap_mean,16,0.8136645962732919,0.0,2.5,7,candidate_not_ablated
own.harvest.visible_units,19,0.6956521739130435,0.0,24.0,7,candidate_not_ablated
own.harvest.manual_cash_reachable_units_bound,19,0.6956521739130435,0.0,24.0,7,candidate_not_ablated
own.harvest.manual_cash_unreachable_units_bound,1,0.0,0.0,0.0,0,candidate_not_ablated
opponent.worker_count,4,1.0,1.0,4.0,7,candidate_not_ablated
opponent.hired_hands,4,0.9565217391304348,0.0,3.0,7,candidate_not_ablated
opponent.worker_action_budget_today,22,1.0,4.0,80.0,7,candidate_not_ablated
opponent.distinct_worker_positions,4,1.0,1.0,4.0,7,candidate_not_ablated
opponent.colocated_worker_pairs,3,0.5093167701863354,0.0,3.0,7,candidate_not_ablated
opponent.shed_distance_mean,13,0.9130434782608695,0.0,3.25,7,candidate_not_ablated
opponent.shed_distance_max,6,0.9130434782608695,0.0,5.0,7,candidate_not_ablated
opponent.workers_at_shed,4,0.7888198757763976,0.0,3.0,7,candidate_not_ablated
opponent.public_cash,41,1.0,41150.0,50149.0,7,candidate_not_ablated
opponent.task_count,18,1.0,13.0,31.0,7,candidate_not_ablated
opponent.task_actions_per_available_worker_action,79,1.0,0.3,4.5,7,candidate_not_ablated
opponent.harvest.count,8,1.0,1.0,8.0,7,candidate_not_ablated
opponent.harvest.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
opponent.harvest.nearest_actions_mean,23,1.0,1.0,5.0,7,candidate_not_ablated
opponent.harvest.nearest_actions_max,6,1.0,1.0,6.0,7,candidate_not_ablated
opponent.harvest.independent_unreachable_today,2,0.049689440993788817,0.0,1.0,2,candidate_not_ablated
opponent.harvest.unique_worker_access,6,0.10559006211180125,0.0,8.0,7,candidate_not_ablated
opponent.harvest.multiple_worker_access,9,0.84472049689441,0.0,8.0,7,candidate_not_ablated
opponent.harvest.best_worker_loss_distance_gap_mean,18,0.8074534161490683,0.0,4.0,7,candidate_not_ablated
opponent.water.count,6,0.9130434782608695,0.0,5.0,7,candidate_not_ablated
opponent.water.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
opponent.water.nearest_actions_mean,23,0.9130434782608695,0.0,5.0,7,candidate_not_ablated
opponent.water.nearest_actions_max,7,0.9130434782608695,0.0,6.0,7,candidate_not_ablated
opponent.water.independent_unreachable_today,2,0.049689440993788817,0.0,1.0,2,candidate_not_ablated
opponent.water.unique_worker_access,3,0.06832298136645963,0.0,5.0,7,candidate_not_ablated
opponent.water.multiple_worker_access,6,0.7950310559006211,0.0,5.0,7,candidate_not_ablated
opponent.water.best_worker_loss_distance_gap_mean,17,0.8198757763975155,0.0,3.5,7,candidate_not_ablated
opponent.feed.count,3,1.0,4.0,6.0,7,candidate_not_ablated
opponent.feed.urgent_count,3,0.21739130434782608,0.0,2.0,7,candidate_not_ablated
opponent.feed.nearest_actions_mean,7,1.0,1.25,2.3333333333333335,7,candidate_not_ablated
opponent.feed.nearest_actions_max,2,1.0,2.0,3.0,7,candidate_not_ablated
opponent.feed.independent_unreachable_today,3,0.07453416149068323,0.0,3.0,7,candidate_not_ablated
opponent.feed.unique_worker_access,5,0.13664596273291926,0.0,6.0,7,candidate_not_ablated
opponent.feed.multiple_worker_access,7,0.9192546583850931,0.0,6.0,7,candidate_not_ablated
opponent.feed.best_worker_loss_distance_gap_mean,9,0.8881987577639752,0.0,2.0,7,candidate_not_ablated
opponent.care.count,1,1.0,6.0,6.0,0,candidate_not_ablated
opponent.care.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
opponent.care.nearest_actions_mean,6,1.0,1.5,2.3333333333333335,7,candidate_not_ablated
opponent.care.nearest_actions_max,2,1.0,2.0,3.0,7,candidate_not_ablated
opponent.care.independent_unreachable_today,4,0.08695652173913043,0.0,5.0,7,candidate_not_ablated
opponent.care.unique_worker_access,5,0.13664596273291926,0.0,6.0,7,candidate_not_ablated
opponent.care.multiple_worker_access,5,0.9316770186335404,0.0,6.0,7,candidate_not_ablated
opponent.care.best_worker_loss_distance_gap_mean,9,0.9316770186335404,0.0,1.6666666666666667,7,candidate_not_ablated
opponent.weed.count,4,1.0,2.0,6.0,1,candidate_not_ablated
opponent.weed.urgent_count,1,0.0,0.0,0.0,0,candidate_not_ablated
opponent.weed.nearest_actions_mean,18,1.0,2.6666666666666665,6.333333333333333,7,candidate_not_ablated
opponent.weed.nearest_actions_max,6,1.0,3.0,8.0,7,candidate_not_ablated
opponent.weed.independent_unreachable_today,7,0.16770186335403728,0.0,6.0,7,candidate_not_ablated
opponent.weed.unique_worker_access,5,0.12422360248447205,0.0,6.0,7,candidate_not_ablated
opponent.weed.multiple_worker_access,6,0.8633540372670807,0.0,6.0,7,candidate_not_ablated
opponent.weed.best_worker_loss_distance_gap_mean,13,0.9192546583850931,0.0,2.0,7,candidate_not_ablated
opponent.harvest.visible_units,16,1.0,2.0,24.0,7,candidate_not_ablated
opponent.harvest.manual_cash_reachable_units_bound,16,0.6708074534161491,0.0,24.0,7,candidate_not_ablated
opponent.harvest.manual_cash_unreachable_units_bound,4,0.3416149068322981,0.0,6.0,7,candidate_not_ablated
relative.worker_count,1,0.0,0.0,0.0,0,candidate_not_ablated
relative.worker_action_budget_today,1,0.0,0.0,0.0,0,candidate_not_ablated
relative.task_count,14,0.9627329192546584,-6.0,7.0,7,candidate_not_ablated
relative.harvest.visible_units,17,0.8509316770186336,-12.0,5.0,7,candidate_not_ablated
relative.harvest.manual_cash_reachable_units_bound,17,0.577639751552795,-12.0,5.0,7,candidate_not_ablated
relative.shed_distance_mean,17,0.8198757763975155,-2.5,1.25,7,candidate_not_ablated
own_inventory.shed_used,7,0.07453416149068323,0.0,25.0,7,candidate_not_ablated
own_inventory.shed_room,7,1.0,75.0,100.0,7,candidate_not_ablated
own_inventory.carried_units,24,0.8571428571428571,0.0,25.0,7,candidate_not_ablated
own_inventory.loaded_workers,5,0.8571428571428571,0.0,4.0,7,candidate_not_ablated
own_inventory.max_worker_load,18,0.8571428571428571,0.0,19.0,7,candidate_not_ablated
own_inventory.deposit_overflow_if_all_arrive,1,0.0,0.0,0.0,0,candidate_not_ablated
own_inventory.wheat_in_shed,4,0.062111801242236024,0.0,12.0,7,candidate_not_ablated
own_inventory.wheat_carried,6,0.4409937888198758,0.0,10.0,7,candidate_not_ablated
