round,level,feature,definition,availability,role,status
22,worker_option,own_worker_count,Own worker count; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,alternative_ready_workers,Other current workers that can reach the task by refresh and already have required resources.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,nearest_other_ready_travel,Minimum distance among resource-ready alternative workers; -1 if none.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,exclusive_ready_access,No other resource-ready worker can finish before refresh; diagnostic only.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,urgency_multiplier,N / (N - distance) for admitted critical jobs; exactly 1 otherwise.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,reference_denominator,Original 1 + outbound distance.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,candidate_denominator,The sole denominator used by the intervention; see formula in FEATURE_RESEARCH.md.,Current own public/private state and fixed default engine constants only,Intervention denominator,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,score_multiplier,"Candidate score divided by the unchanged native score; activation diagnostic, not importance.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,worker_option,eligible_critical_job,"Current survival risk, admitted deadline, resource support and same-day feasibility all hold.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,task_options,"Worker-task pairs, not independent observations or distinct resources.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,unique_tasks,"Distinct current (x,y,operation) tasks, avoiding worker duplication.",Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,worker_count,Worker count; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,critical_options,Critical options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,eligible_critical_options,Eligible critical options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,unreachable_options,Unreachable options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,resource_blocked_options,Resource blocked options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,exclusive_access_options,Exclusive access options; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,minimum_critical_slack,Minimum critical slack; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,mean_critical_slack,Mean critical slack; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,mean_score_multiplier,Mean score multiplier; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,state_summary,max_score_multiplier,Max score multiplier; deterministically computed from current own observation. See the named expression in maintenance_features.py.,Current own public/private state and fixed default engine constants only,Supporting primitive/derived diagnostic; not independently selected,IMPLEMENTED_UNEXECUTED_NO_MEASURED_FEATURE_VALUE
22,task,peer_due_option_count,Number of same-worker unserviced options in the current family table.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,peer_critical_option_count,Number of resource-supported feasible survival-critical options for this worker.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,peer_minimum_critical_slack,Smallest completion slack among eligible critical options; -1 when none.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,slack_above_most_urgent,Completion slack minus eligible minimum; zero for ineligible options.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,critical_exclusive_access,Eligible critical option with no alternative ready worker before the deadline.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,feed_blocked_with_shed_stock,FEED blocked by this worker having no wheat despite positive shed wheat.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,worker_wheat_minus_due_feed_jobs,Worker wheat minus count of in-scope unserviced FEED jobs; not a feasible global schedule.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,conditional_next_yield_at_survival_risk,"Nominal next production multiplied by current survival-critical indicator; conditional units, not causal lost income.",current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,additional_missed_refreshes_to_loss,"Two minus the current missed-care streak (clipped at zero), or two when already serviced; simplified fixed-mechanics buffer.",current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,peer_best_urgency_multiplier,Largest urgency multiplier across the same-worker in-scope maintenance options.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,urgency_multiplier_gap_to_best,Best in-scope urgency multiplier minus this option multiplier.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
22,task,urgency_multiplier_competition_rank,One plus the number of strictly larger multipliers; ties share a rank.,current own-observation descriptors; grouping metadata only,diagnostic only; not used by actor in this comparison,prepared; incremental outcome value untested
